,Tipo,SKU,Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿Existencias?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Precio Calculado,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Nombre del atributo 2,Valor(es) del atributo 2,Atributo visible 2,Atributo global 2,Nombre del atributo 3,Valor(es) del atributo 3,Atributo visible 3,Atributo global 3,TAZA BCV,Taza Paralelo
9290,variable,,Pizza de Pepperoni,1,0,visible,"<h3>Ingredientes:</h3>\n\nSalsa de la casa, mozzarella, pepperoni.","Nuestra pizza de pepperoni, elaborada con una masa casera, con nuestra salsa de la casa, hecha con tomates frescos y especias, una capa de queso mozzarella fundido y pepperoni, que le da un toque irresistible. Es una pizza perfecta para cualquier ocasión. ¡Pídela ya y disfruta!",,,taxable,,1,,,0,0,1.2,10.3,5.4,6.7,1,,,,,Pizzas,"Delivery, Menú en Tienda, Menú La Brioche Café & Market, Menú Le Petit Brioche, Pick Up",,https://le-petit.labrioche.com.ve/wp-content/uploads/2024/05/PIZZA_peperonni-1.png,,,,,,,,,0,Tamaño,"Pequeña, Grande",1,0,,,,,,,,,"36,82","44,08"
9291,variable,,Refresco,1,0,visible,"¡Sumérgete en el mundo de los refrescos! Clásicos revitalizantes, dulces y de sabores únicos. ¡Una aventura de sabor en cada sorbo!",¡Una explosión de sabores que despiertan los sentidos! Cada sorbo da una sensación de frescura y una invitación a disfrutar con cada burbuja.,,,taxable,,1,,,0,0,1.2,10.3,5.4,6.7,1,,,,,Bebidas,"Bebidas frias, Delivery, Gaseosas, Menú en Tienda, Menú La Brioche Café & Market, Menú Le Petit Brioche, Pick Up",,https://le-petit.labrioche.com.ve/wp-content/uploads/2024/05/refrescos.png,,,,,,,,,0,Sabor:,"Coca-Cola, Pepsi, Chinotto, Frescolita, Manzana",1,0,Presentación,"Lata 355ml, 355ml, 1 Litro, 1.5 Litros, 2 Litros",1,0,,,,,,
9292,simple,,Desayuno Brioche,1,0,hidden,"El Desayuno Brioche es una combinación irresistible de café o jugo, waffle o tostadas, huevo, jamón, queso amarillo, tocineta, granola y miel. ¡Una sinfonía matutina que te hará sonreír!","Con una taza de café recién hecho o un jugo fresco te espera el desayuno Brioche. Con waffle o tostadas, miel, huevo perfectamente cocinado a tu gusto, jamón, queso amarillo, tocineta crujiente y granola que completa este festín matutino inolvidable.",,,taxable,,1,,,0,0,,,,,1,,,8,"352,64",Desayunos,"Menú en Tienda, Menú La Brioche Café & Market",,https://le-petit.labrioche.com.ve/wp-content/uploads/2024/05/Desayuno-Brioche.png,,,,,,,,,0,,,,,,,,,,,,,,
9293,simple,,Desayuno Americano,1,0,hidden,"Un plato repleto de delicias: una tostada dorada y crujiente, con huevo frito, jamón, queso amarillo, tocineta y miel, creando un equilibrio entre lo salado y lo dulce. Acompaña este festín con una taza de café caliente o un vaso de jugo refrescante.","Comienza tu día con un Desayuno Americano. Tostadas crujientes, huevo frito, jamón y queso amarillo que se combina con la dulzura de la miel y tocineta crujiente. Acompáñalo con una taza humeante de café o un refrescante jugo para completar esta experiencia matutina que te hará sentir como en casa. ¡Disfruta de este clásico desayuno que te transportará directamente a las cafeterías de Estados Unidos!",,,taxable,,1,,,0,0,,,,,1,,,8,"352,64",Desayunos,"Menú en Tienda, Menú La Brioche Café & Market",,"https://le-petit.labrioche.com.ve/wp-content/uploads/2024/05/Desayuno-Americano.png, https://le-petit.labrioche.com.ve/wp-content/uploads/2024/03/IMG-20240314-WA0013.jpg, https://le-petit.labrioche.com.ve/wp-content/uploads/2024/03/IMG-20240314-WA0014.jpg, https://le-petit.labrioche.com.ve/wp-content/uploads/2024/03/IMG-20240314-WA0012.jpg, https://le-petit.labrioche.com.ve/wp-content/uploads/2024/03/IMG-20240314-WA0011.jpg, https://le-petit.labrioche.com.ve/wp-content/uploads/2024/03/IMG-20240314-WA0010.jpg",,,,,,,,,0,,,,,,,,,,,,,,
9294,variable,,Cachito,1,0,visible,"¡Prueba nuestros únicos y deliciosos cachitos! De sabor auténtico, nuestros cachitos recién horneados, son el complemento perfecto para cualquier hora del día.\n\n\n\n<!--  	<link href=""https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/css/bootstrap.min.css"" rel=""stylesheet"">\n\n     	<link href=""https://getbootstrap.com/docs/5.3/assets/css/docs.css"" rel=""stylesheet"">\n\n\n\n<script src=""https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js""></script> -->\n\n\n\n<!-- Example Code -->\n\n\n\n<style>\n\n      .btn-primary{\n\n        background-color:#C1753D;\n\n        border-color:#C1753D\n\n      }\n\n      .btn-primary:active {\n\n        color:#222222 !important;\n\n        background-color: white !important; /* Color de fondo al presionar */\n\n        border-color: #222222 !important; /* Color del borde al presionar */\n\n         /* Puedes agregar más estilos aquí */\n\n      }\n\n      .btn-primary:hover {\n\n        background-color: #222222; /* Color de fondo al pasar el mouse */\n\n        border-color: #222222; /* Color del borde al pasar el mouse */\n\n        /* Puedes agregar más estilos aquí */\n\n      }</style>\n\n<p class=""d-inline-flex gap-1""><a class=""btn btn-primary collapsed"" role=""button"" href=""#multiCollapseExample1"" data-bs-toggle=""collapse"" aria-expanded=""false"" aria-controls=""multiCollapseExample1"">Cachitos de Jamón <strong>$1,00</strong></a>\n\n<a class=""btn btn-primary collapsed"" role=""button"" href=""#multiCollapseExample2"" data-bs-toggle=""collapse"" aria-expanded=""false"" aria-controls=""multiCollapseExample2"">Cachitos de Jamón y Queso <strong>$1,00</strong></a>\n\n<a class=""btn btn-primary collapsed"" role=""button"" href=""#multiCollapseExample3"" data-bs-toggle=""collapse"" aria-expanded=""false"" aria-controls=""multiCollapseExample3"">Cachitos de Jamón y Tocineta <strong>$1,50</strong></a></p>\n\n\n\n<div class=""row"">\n\n<div class=""col"">\n\n<div id=""multiCollapseExample1"" class=""multi-collapse collapse"">\n\n<div class=""card card-body"">Clásico desayuno, de masa suave y que envuelve el sabor del jamón.</div>\n\n</div>\n\n</div>\n\n<div class=""col"">\n\n<div id=""multiCollapseExample2"" class=""multi-collapse collapse"">\n\n<div class=""card card-body"">Combinación única e irresistbile, perfecta para comenzar el día.</div>\n\n</div>\n\n</div>\n\n<div class=""col"">\n\n<div id=""multiCollapseExample3"" class=""multi-collapse collapse"">\n\n<div class=""card card-body"">Una experiencia rica con su mezcla de texturas y el toque único de la tocineta.</div>\n\n</div>\n\n</div>\n\n</div>","Nuestros cachitos, horneados a la perfección, ofrecen una combinación irresistible de masa suave y un relleno exquisito de jamón, o jamón y queso, o jamón y tocineta. Ideal para desayunos o meriendas, este delicioso manjar es la elección perfecta para quienes valoran la calidad y el sabor auténtico.",,,taxable,,1,,,0,0,,,,,1,,,,,Desayunos,"Menú en Tienda, Menú Le Petit Brioche, Pick Up",,https://le-petit.labrioche.com.ve/wp-content/uploads/2024/05/cachito.png,,,,,,,,,0,Relleno,"Jamón, Jamón y queso, Jamón y tocineta",1,0,,,,,,,,,,
9295,simple,,Saladito,1,0,visible,"Si quieres probar algo rico y rápido, prueba los Saladitos. Con su característica masa hojaldrada y con rellenos variados que te encantarán. Todos a un precio inigualable y con un sabor irresistible. No te quedes sin probarlos.","Deliciosos saladitos horneados con su característica masa de hojaldre, con variedad de rellenos que te harán agua la boca, muy económicos y sabrosos. Ideales para compartir en cualquier ocasión.",,,taxable,,1,,,0,0,,,,,1,,,"1,5","66,12",Desayunos,"Menú en Tienda, Pick Up",,https://le-petit.labrioche.com.ve/wp-content/uploads/2024/05/Saladito-1.png,,,,,,,,,0,Relleno,"Jamón y queso amarillo, Jamón de pavo y queso crema, Queso ricotta y espinaca, Queso ricotta y ajo porro, Pollo",1,0,,,,,,,,,,
9296,simple,,Mini Lunch,1,0,visible,"Disfruta de nuestro delicioso y nutritivo Mini Lunch, relleno con una combinación única que te hará agua la boca. Su masa suave y esponjosa, su relleno cremoso y sabroso, y su cobertura crujiente y dorada te conquistarán desde el primer mordisco. ¡Pruébalo ya!","¿Buscas una opción rápida y fácil para cualquier hora del día? Prueba Mini Lunch, el pan relleno que tiene todo lo que te gusta. Su combinación de ingredientes te aporta proteínas, minerales y energía, mientras que su textura y sabor te satisfacen el paladar. ¡No te quedes sin probarlo!",,,taxable,,1,,,0,0,,,,,1,,,"1,9","83,752",Desayunos,"Menú en Tienda, Menú La Brioche Café & Market, Pick Up",,https://le-petit.labrioche.com.ve/wp-content/uploads/2024/05/Placeholder_Label.png,,,,,,,,,0,,,,,,,,,,,,,,
9297,simple,,Croissant,1,0,visible,Un croissant crujiente y dorado que esconde un delicioso relleno de jamon y queso suave. ¡Una combinación inolvidable!,"Disfruta de un desayuno o una merienda irresistible con nuestro Croissant relleno de jamon y queso. Se trata de un panecillo de hojaldre horneado hasta obtener una textura crujiente y un color dorado, que alberga en su interior una generosa porción de jamon, y queso suave que se funde en la boca. Un bocado lleno de sabor y calidad que te hará sentir que estás en Francia.",,,taxable,,1,,,0,0,,,,,1,,,3,"132,24",Desayunos,"Menú en Tienda, Menú La Brioche Café & Market, Pick Up",,https://le-petit.labrioche.com.ve/wp-content/uploads/2024/05/Placeholder_Label.png,,,,,,,,,0,,,,,,,,,,,,,,
9298,variable,,Pizza Margarita,1,0,visible,"<h3>Ingredientes:</h3>\n\nSalsa de la casa, mozzarella.","Una pizza clásica y elegante de masa casera que se cubre con una capa de salsa de tomate casera y queso mozzarella fundido. Una pizza sencilla, pero de irresistible sabor.",,,taxable,,1,,,0,0,,,,,1,,,,,Pizzas,"Delivery, Menú en Tienda, Menú La Brioche Café & Market, Menú Le Petit Brioche, Pick Up",,https://le-petit.labrioche.com.ve/wp-content/uploads/2024/05/Margarita-1.png,,,,,,,,,0,Tamaño,"Pequeña, Grande",1,0,,,,,,,,,,
9299,variation,,Pizza Margarita - Pequeña,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,3,"110,46",,,,,,,id:9298,,,,,,1,Tamaño,Pequeña,,0,,,,,,,,,,
